title	creator	publisher	language	ncid	edition	publicationDate	note	subject
労働法	峯村光郎〔ほか〕共著	自由国民社	jpn	BN12729062	〔昭和57年〕増補	1982.4		NDC8:366.14
細胞の分子生物学	Bruce Alberts [ほか] 著 ; 中村桂子, 藤山秋佐夫, 松原謙一監訳	教育社	jpn	BN12739496	第3版	1995.7	その他の著者: Dennis Bray, Julian Lewis, Martin Raff, Keith Roberts, James D. Watson	NLM:QH581.2
労使のための入門書		産業労働調査所	jpn	BN12743143				
野菊集 : 耕霞道人稿	菊池壽人著	龜井高孝	jpn	BN12746436		1943.9	附録:弔辭(安倍能成,關屋貞三郎,杉敏介)	
佐賀藩武雄領科人帳	細川章校註	文献出版	jpn	BN12749729		1995.5	監修:秀村選三	NDC8:322.1992
紫水晶	片山敏彦著	世界書房	jpn	BN12750284		1947.11	記述は再版(1948年10月)による	
池田大作 : 現代人物論	小林正巳著	旺文社	jpn	BN12760517		1969	遡及データをもとにした流用入力	NDC6:169.1
描かれた日本の風景 : 近世画家たちのまなざし	静岡県立美術館編	静岡県立美術館	jpn	BN12774770		1995.2	展覧会カタログ	NDC7:721.05
化学工業財閥の新研究	中外産業調査会編纂	中外産業調査会	jpn	BN12805182		1938.4		NDC6:335.28
建築物の省エネルギー基準と計算の手引	住宅・建築省エネルギー機構編	住宅・建築省エネルギー機構	jpn	BN12812122	改訂1版	1994.10	監修: 建設省住宅局建築指導課長, 建設省住宅局建築環境技術対策官	NDC8:528.0
Neuestes Medizinisches und Pharmazeutisches Handlexikon : (Deutsch=Lateinisch=English=Japanisch) für studierende und Ärzte	von S. Hashimoto und W. Hirose	Kanehara	gerjpn	BA25001550	[6. Aufl.]	[1926]	7. Aufl in spine	
The black cat and other tales	Edgar Allan Poe ; edited with notes by Akira Watanabe	Nan'un-do	engjpn	BA25160204		1952		DC20:428.6
絵になる授業を創る : 基礎・基本の定着を図る感動的な授業構成と評価	瀬川栄志編著	光文書院	jpn	BN12815415		1982.10		
ドン・カルロス : 西班牙太子	シラー作 ; 山下秩光譯	櫻門出版社	jpn	BN12818708		1949.8		NDC6:942
宝生増益護摩供次第		東方出版	jpn	BN12822556		1982.3	折本 和装	NDC8:188.56
聞見雑録	[吉村彰著]	[吉村彰]	jpn	BN12825849		1884	和装	
防災日本列島	小川益生編	公安文化協会出版部	jpn	BN12850890		1982.9		NDC8:369.3
20世紀美術の巨匠展 : 名作にみる生きた美術史	西武美術館編	西武美術館]	jpn	BN12901969		1979	会期・会場: 昭和54年1月2日-15日 西武百貨店高槻店4階特設会場	
高血圧・心臓病の低塩・低カロリー食229献立		婦人生活社	jpn	BN12967129		1984.8	指導・監修:渋谷実	NDC8:498.58
中津山村誌	中津山村	宮城県 桃生郡中津山村教育委員会	jpn	BN12992170		1955.3		
レモン哀歌 : 高村光太郎詩集	高村光太郎著	集英社	jpn	BN12995463		1991.1	遡及データをもとにした遡及入力	NDC8:911.56
日本の福祉はどこへ行くのか : 社会福祉政策の批判と検討	全国福祉保育労働組合, 総合社会福祉研究所編	かもがわ出版	jpn	BN12998756		1995.7		NDC8:369.1
巨匠12人展 : 近代日本の陶芸	読売新聞社編	読売新聞社	jpn	BN13029394		1974	会期・会場: 10月24日-29日 新宿・伊勢丹本館7階クローバーホール(東京展), 10月31日-11月12日 梅田・阪神百貨店8階催場(大阪展)	
日本物産字引	橋爪貫一輯録	北畠茂兵衛等	jpn	BN13033041		1875	和装	NDC6:602.1
精神科医による問題行動理解のテキスト		学事出版	jpn	BN13039627				
教育的遊戯の原理及實際	冨永岩太郎著	同文館	jpn	BN13040182		1901.7		NDC6:780
大正六年制定法律精義	法律新聞社編纂	法律新聞社	jpn	BN13043475		1918.4		
大和の年中行事	山田熊夫 [ほか]共著	奈良新聞社	jpn	BN13046768	4版	1978.9	その他の著者: 森川辰蔵, 乾健治, 岩井宏美, 仲川明	NDC6:385.8
大職冠地区発掘調査概報(近世墓の調査) : 郡山城第36次		大和郡山市教育委員会	jpn	BN13050415		1994.3		NDC8:210.2
初級練習問題集	九州大学留学生教育センター編集	九州大学留学生教育センター	jpn	BN13053708		1991.4		NDC8:810.7
妙好人有福の善太郎	菅真義著	百華苑	jpn	BN13067961	増補3版	1980.2	「善太郎さんと祖父 : あとがきにかえて」の日付: 昭和54年12月	NDC8:188.74
科学と思想	ダブリュー・シー・ディ・ウェサム著 ; 大町芳文訳	早稲田大学出版部	jpn	BN13074901		1924.5		NDC8:402.3
たのしい理科教室		毎日新聞社	jpn	BN13102020			監修: 田中実	
政治学の基本問題	春宮千鐡著	中央書房	jpn	BN13105313		1957.5		NDC8:311
たからの実る雲の木	兼久博子文 ; 弥生紫絵	琉球新報社	jpn	BN13108606		1991.8	題字: 玻名城泰雄	NDC8:726.1
日本社会党規約 : 附諸規定		日本社会党統一大会準備委員会	jpn	BN13112454		[1955.10]	謄写版	NDC8:315.1
伊和のあけぼの : 播磨国郷土資料/ 河野峯吉著		河野峯吉	jpn	BN13115747		1973		
協業経営体調査報告書	農林省統計調査部編	農林統計協会	jpn	BN13122888		1967.2		NDC6:610.59
ディーゼル機関の整備	南林之祐著	山海堂	jpn	BN13136940		1959.7	記述は重版(1959.7)による	
児童文化にみる戦争責任 : 子どもたちを戦争にかりたてた大人たち	アジアに対する日本の戦争責任を問う民衆法廷準備会編	樹花舎	jpn	BN13195189			児童文化にみる戦争責任関連文献一覧: p53〜65	NDC8:379.3
宇宙の大疑問 : 知りたかった博学知識-天体の夢とロマンにズバリ!答える/ 博学こだわり倶楽部編		河出書房新社	jpn	BN13264168		1994.1	巻末:参考文献	NDC8:440.49
静岡県万葉ものがたり	山下智之著	新葉社	jpn	BN13271108		1995.4		NDC8:911.125
